World rank;Company;Country;Region;Industry-ICB3 sector name;R&D 2021 (EUR million);R&D one-year growth (%);Net sales (EUR million);Net sales one-year growth (%);R&D intensity (%);Capex (EUR million);Capex one-year growth (%);Capex intensity (%);Op.profits (EUR million);Op.profits one-year growth (%);Profitability (%);Employees;Employees one-year growth (%);Market cap (EUR million);Market cap one-year growth (%)
239;DELTA ELECTRONICS (TAIWAN);Taiwan;RoW;Electronic & Electrical Equipment;809.1;7;10033.6;11.3;8.1;734.2;29.1;7.3;1078.3;-1.2;10.7;;;22404.2;43.1
240;SERVIER;France;EU;Pharmaceuticals & Biotechnology;802;-0.1;4725;0.8;17;;;;278;-0.7;5.9;21779;-3.2;;
241;SUBARU;Japan;Japan;Automobiles & Parts;800.8;-0.5;21217.1;-3;3.8;782.7;-18.8;3.7;699.3;-15.6;3.3;36910;2.3;12109.6;-7.5
242;FRESENIUS;Germany;EU;Health Care Equipment & Services;798;0.3;37520;3.4;2.1;2047;-14.9;5.5;4158;-5.2;11.1;316078;1.5;19876.5;13.3
243;EDWARDS LIFESCIENCES;US;US;Health Care Equipment & Services;797.4;18.7;4619.9;19.3;17.3;287.7;-20;6.2;1510.6;31.3;32.7;15700;5.4;64490.1;36.9
244;NINTENDO;Japan;Japan;Leisure Goods;790.1;9.6;13106.2;-3.6;6;58.7;8.2;0.4;4582.5;-7.5;35;6717;2.2;53846.6;-6.8
245;KIRIN;Japan;Japan;Beverages;788.4;58.1;14082;-1.5;5.6;667.4;-7.2;4.7;502;-37.2;3.6;29515;-5.3;14089.3;-4.4
246;BT;UK;Row;Fixed Line Telecommunications;785.2;12.4;24730.6;-2.3;3.2;5464.5;-6;22.1;3546.5;11.6;14.3;98400;-1.3;19976.3;62.3
247;NETAPP;US;US;Technology Hardware & Equipment;777.9;0;5578.3;10;13.9;199.5;39.5;3.6;1062.2;10;19;12000;9.1;17559;89
248;FOSUN INTERNATIONAL;China;China;Pharmaceuticals & Biotechnology;766.3;26;22354.6;18;3.4;826.7;4.8;3.7;234.7;-56.6;1;96000;26.3;9324.4;12.2
249;AMADEUS;Spain;EU;Software & Computer Services;765.3;-10.6;2670;22.8;28.7;44;1.4;1.6;-83;-89.2;-3.1;15936;-3.6;23299.8;10.3
250;SAFRAN;France;EU;Aerospace & Defence;764;6.9;15133;-9;5;387;-13.8;2.6;1699;-15.6;11.2;77008;-2.4;45398.5;9.5
251;ASAHI KASEI;Japan;Japan;Chemicals;763;10;19027.7;16.9;4;1099.7;6.7;5.8;1513.9;15.3;8;46751;5.1;12241.6;27.6
252;CHINA EVERGRANDE;China;China;Automobiles & Parts;758.9;493.8;2146.4;174.8;35.4;815.4;57.6;38;-633.5;125.3;-29.5;8796;-4.5;26999.9;260.3
253;DOW;US;US;Chemicals;756.7;11.6;48532.6;42.6;1.6;1938;74.6;4;6953;238.3;14.3;35700;0;41417.1;40.3
254;TWILIO;US;US;Software & Computer Services;751.4;49;2509.1;61.3;29.9;40.7;78.4;1.6;-780.9;86.6;-31.1;7867;70;52611.5;66.9
255;SCHAEFFLER;Germany;EU;Automobiles & Parts;751;4.6;13852;9.9;5.4;634;4.1;4.6;1262;-1325.2;9.1;82981;-0.4;3682.5;294
256;EXXON MOBIL;US;US;Oil & Gas Producers;744.3;-17;244298;54.9;0.3;10662.2;-30.1;4.4;20513;-175.8;8.4;63000;-12.5;203791.1;36.7
257;GARMIN;Switzerland;RoW;Leisure Goods;741.7;19;4399.4;19;16.9;271.6;65.9;6.2;1080.2;16.1;24.6;18700;16.9;29619.2;69.3
258;BRIDGESTONE;Japan;Japan;Automobiles & Parts;738.1;0.3;28703.4;24;2.6;1245;-19.8;4.3;6526.3;1702.9;22.7;135636;-1.7;27940.1;50.7
259;BEIJING SHOUGANG;China;China;Industrial Metals & Mining;737.5;62.7;17793.3;70.2;4.1;418;-0.6;2.3;1704.9;170.9;9.6;17846;-1.8;5782.5;56.5
260;YAMAHA MOTOR;Japan;Japan;Automobiles & Parts;736.6;1.4;14011.9;23.2;5.3;516.1;29.9;3.7;1403.5;125.5;10;51249;-2.3;7580.8;67.6
261;SHOPIFY;Canada;RoW;Software & Computer Services;736.4;56.7;4071.9;57.4;18.1;44.8;21.7;1.1;237.2;198;5.8;10000;42.9;149812;44.7
262;CERNER;US;US;Software & Computer Services;731.5;4;5089.9;4.7;14.4;255.8;2;5;625.4;2.1;12.3;25150;-4.7;19925.8;0.7
263;TOTALENERGIES;France;EU;Oil & Gas Producers;727.5;-7.9;163017.8;54.2;0.4;10283.4;16.7;6.3;21073.6;-448.8;12.9;101309;-4;98606.8;12.3
264;SEA;Singapore;RoW;Software & Computer Services;726.9;135.4;8789.7;127.5;8.3;681.8;129.6;7.8;-1397.7;21.5;-15.9;67300;99.1;109750.2;1133.3
265;CUREVAC;Netherlands;EU;Pharmaceuticals & Biotechnology;722.5;725.8;103;110.7;701.6;124.2;241.9;120.6;-412.3;275.4;-400.3;884;59.6;10864;26.6
266;VITESCO TECHNOLOGIES;Germany;EU;Electronic & Electrical Equipment;721.2;0.7;8348.5;;8.6;441.3;;5.3;39.5;;0.5;37488;;1724.9;
267;SHELL;UK;Row;Oil & Gas Producers;719.6;-10.1;230888.2;44.8;0.3;16775.6;14.6;7.3;23592.6;-213.8;10.2;82000;-5.7;;
268;SHANGHAI ELECTRIC;China;China;Industrial Engineering;717.8;13.7;17679.9;-4.5;4.1;597.2;-32.8;3.4;113.9;-85.8;0.6;39015;-0.8;731.8;-4.6
269;KEYSIGHT TECHNOLOGIES;US;US;Electronic & Electrical Equipment;716.1;13.4;4362.5;17.1;16.4;153.6;48.7;3.5;953.6;47.3;21.9;14300;2.9;29172.7;79.2
270;GUANGZHOU AUTOMOBILE;China;China;Automobiles & Parts;707.9;1.3;10488.5;19.8;6.7;865.3;-5.2;8.2;-692.6;-3.8;-6.6;96989;3.5;2747.1;17.6
271;CORNING;US;US;Technology Hardware & Equipment;706.3;-20;12433.3;24.6;5.7;1445.3;18.9;11.6;1864.7;314.9;15;61200;22.1;30154.3;38.1
272;AUTOMATIC DATA PROCESSING;US;US;Support Services;705.1;11.4;14566.7;9.9;4.8;154;-2.4;1.1;3337.6;14.4;22.9;60000;7.1;78086.5;47.9
273;MITSUBISHI MOTORS;Japan;Japan;Automobiles & Parts;701.3;-10.5;15762.2;40.1;4.4;591.7;-3.7;3.8;663.9;-142.3;4.2;28796;-4.3;3237.4;10.2
274;ELECTRICITE DE FRANCE;France;EU;Electricity;694;0.1;84461;22;0.8;16102;6.7;19.1;6178;20.3;7.3;167157;1.2;36236.1;32.6
275;NIDEC;Japan;Japan;Electronic & Electrical Equipment;691;19.5;14828.8;18.5;4.7;762.1;10.9;5.1;1325.7;7.2;8.9;114371;1.6;58174.4;41.6
276;PINTEREST;US;US;Software & Computer Services;688.9;28.7;2276.2;52.3;30.3;8;-48.1;0.4;288;-328.9;12.7;3225;26.7;27239.3;81.2
277;AMS-OSRAM;Austria;EU;Technology Hardware & Equipment;688;44.8;5038;43.8;13.7;310;75.1;6.2;212;51.4;4.2;24499;-17.7;4943.3;16.5
278;MICHELIN;France;EU;Automobiles & Parts;682;5.6;23795;16.2;2.9;1494;43.5;6.3;2777;97.8;11.7;124760;0.9;24442.9;44.6
279;SAREPTA THERAPEUTICS;US;US;Pharmaceuticals & Biotechnology;680.9;6.8;619.7;30;109.9;34;-53.2;5.5;-401;-19.5;-64.7;840;-3;5507.2;-45.7
280;ASE TECHNOLOGY HOLDING;Taiwan;RoW;Software & Computer Services;671.3;9.1;18174.9;19.5;3.7;2260.9;14.2;12.4;2015.3;76.4;11.1;;;17976.8;112.3
281;DROPBOX;US;US;Software & Computer Services;667.4;3.9;1905.3;12.7;35;19.5;-72.4;1;243.3;-199.5;12.8;2667;-3.4;8828.2;49.7
282;SHARP;Japan;Japan;Electronic & Electrical Equipment;667.1;-0.6;19292.7;2.9;3.5;367.9;33.5;1.9;479.4;-19.1;2.5;47941;-5;6873.9;26.8
283;MAHLE;Germany;EU;Automobiles & Parts;665.6;3.4;10933.1;11.9;6.1;400;-7.5;3.7;206;-207.3;1.9;71298;-1.2;;
284;PEPSICO;US;US;Beverages;664;4.6;70169.5;12.9;0.9;4083.5;9.1;5.8;10046.8;10;14.3;309000;6.2;190843.1;11.5
285;LUCID;US;US;Automobiles & Parts;662.4;46.8;23.9;581.9;2767.1;371.9;-8.3;1553.7;-1351.3;155.4;-5645.1;3900;54.6;28525.2;
286;WISTRON;Taiwan;RoW;Technology Hardware & Equipment;662;9;27488.4;2;2.4;334.7;6.7;1.2;530;14.2;1.9;;;2536.6;-12.2
287;SAMSUNG SDI;South Korea;RoW;Electronic & Electrical Equipment;653;8.6;10084.7;20;6.5;1679.4;30.3;16.7;794.4;59;7.9;;;40574.8;75.2
288;VIATRIS;US;US;Pharmaceuticals & Biotechnology;651.4;33;15792.2;49.7;4.1;403.7;88.1;2.6;1685.4;38.3;10.7;37000;-17.8;15620.6;-21.3
289;CONSTELLATION SOFTWARE;Canada;RoW;Software & Computer Services;650.7;28.2;4508.2;28.6;14.4;25.6;16;0.6;829.9;32;18.4;25000;66.7;31097.3;41.6
290;KYOCERA;Japan;Japan;Electronic & Electrical Equipment;650.3;11.5;14216.3;20.4;4.6;1039.7;9.5;7.3;1151.2;103;8.1;83001;5.7;19985.2;12.5
291;MOTOROLA;US;US;Technology Hardware & Equipment;648.1;7;7214.4;10.2;9;214.6;12;3;1508.9;17.5;20.9;18700;3.9;36511.1;57.4
292;DEUTSCHE TELEKOM;Germany;EU;Fixed Line Telecommunications;644.5;33.9;108794;7.7;0.6;13616;5.2;12.5;13980;-1.7;12.8;216528;-4.3;85868.1;21.4
293;ASUSTEK COMPUTER;Taiwan;RoW;Technology Hardware & Equipment;640.6;19;17066.6;29.7;3.8;69.5;-15.1;0.4;1577.7;97.1;9.2;;;7673.5;33.3
294;TECHTRONIC INDUSTRIES;China;China;Electronic & Electrical Equipment;637.4;56.1;11657.4;34.6;5.5;659.1;62.7;5.7;1051;37.1;9;51426;7.1;35819.6;75.5
295;GEELY AUTOMOBILE;China;China;Automobiles & Parts;631.9;-4.6;14083.1;10.3;4.5;392.7;1;2.8;430.3;-36.6;3.1;44000;15.8;31245.6;71.7
296;DAIKIN INDUSTRIES;Japan;Japan;General Industrials;630.3;13.7;24035.6;24.7;2.6;882.1;8.7;3.7;2417.3;31.2;10.1;88698;4.5;62099.1;37.3
297;DANSKE BANK;Denmark;EU;Banks;627.9;21.3;6396.4;2.9;9.8;92.3;68.1;1.4;2229.9;162.9;34.9;21754;-2.8;12280.9;9.6
298;BORGWARNER;US;US;Automobiles & Parts;624.2;48.5;13100.8;46;4.8;589.8;44.9;4.5;1227.3;53.1;9.4;49300;-0.8;9036.1;21.7
299;GODADDY;US;US;Software & Computer Services;623.6;26;3369;15;18.5;45.1;-23.2;1.3;337.4;17.3;10;6611;-0.2;10927.9;-11.3
300;MARIS-TECH;Israel;RoW;Technology Hardware & Equipment;623.4;-9.6;1832.7;110.1;34;7;31.9;0.4;-505.8;46.5;-27.6;11;10;;
301;ORANGE;France;EU;Fixed Line Telecommunications;620;-3.6;42522;0.6;1.5;8749;2.4;20.6;2848;-50.9;6.7;139698;-1.7;25589.7;3.1
302;AURORA INNOVATION;US;US;Software & Computer Services;615.6;288.6;72.9;;844.8;42.4;;58.2;-645.1;235;-885.2;1600;;752;
303;UNITY SOFTWARE;US;US;Leisure Goods;615.3;72.4;980.5;43.8;62.8;37;4.4;3.8;-464.2;91.3;-47.3;5245;31.1;31616.8;-13.8
304;MERCADOLIBRE;US;US;Software & Computer Services;614.1;66.2;6241.8;77.9;9.8;505.9;131.9;8.1;389.1;245.1;6.2;29957;92.7;81965.4;59.8
305;HARRIS;US;US;Technology Hardware & Equipment;611;-31.7;15728.4;-2.1;3.9;302;-7.1;1.9;1750;61.1;11.1;47000;-2.1;41340.2;19.8
306;NIO;China;China;Automobiles & Parts;606.7;96.1;5008.4;122.3;12.1;565.3;261.7;11.3;-623.2;-2.4;-12.4;15204;95.9;;
